id,avg_payment_ratio,total_bill_amt,total_pay_amt,default_history,credit_utilization
117,1.0,7456.0,7656.0,0.0,0.03
118,0.14,99022.0,7700.0,1.0,1.24
119,0.49,71828.0,57891.0,0.0,0.18
120,0.04,209703.0,11073.0,0.0,0.87
121,0.02,290245.0,10162.5,1.0,5.8
122,,0.0,0.0,1.0,0.0
123,,0.0,0.0,0.0,0.0
124,0.04,1523547.0,53973.0,1.0,4.91
125,0.07,112100.0,4308.0,0.0,5.61
126,,0.0,0.0,0.0,0.0
127,0.03,617685.0,22056.0,0.0,3.09
128,0.03,668882.0,14771.0,1.0,3.72
129,0.3,30548.0,6200.0,1.0,0.61
130,0.04,264125.0,7511.0,0.0,4.4
131,0.96,32803.0,17734.125,0.0,1.09
132,27.6,11279.0,8944.0,0.0,0.05
133,0.04,1349911.0,53309.0,0.0,3.21
134,0.04,1365145.0,49096.0,0.0,4.14
135,0.07,124262.0,5460.0,0.0,4.14
136,0.14,77708.0,4627.0,0.0,0.32
137,0.14,140829.0,20000.0,0.0,0.94
138,0.21,43256.0,7046.0,0.0,0.21
139,0.4,6932.0,4262.5,1.0,0.14
140,0.05,208330.0,8960.0,0.0,4.17
141,,0.0,0.0,1.0,0.0
142,,3828.0,5580.0,0.0,0.02
143,0.1,99487.0,7462.5,0.0,1.99
144,0.82,67988.0,62448.5,0.0,0.4
145,3.21,26510.0,10778.125,0.0,1.33
146,0.2,48184.0,7183.0,0.0,0.96
147,0.09,105012.0,3752.0,1.0,0.62
148,0.04,794273.0,45084.25,0.0,3.97
149,0.18,61950.0,4121.0,0.0,0.77
150,,23238.0,24469.0,0.0,0.09
151,0.04,411323.0,16267.0,0.0,2.94
152,0.2,256528.0,33158.625,0.0,3.21
153,13.97,4744.0,4536.0,0.0,0.01
154,0.04,971621.0,53865.0,0.0,3.47
155,0.19,70072.0,8700.0,0.0,2.34
156,0.21,222980.0,30954.0,0.0,1.59
157,0.04,575407.0,22560.0,0.0,2.88
158,0.04,1018160.0,37788.0,0.0,5.09
159,0.09,805451.0,65268.0,1.0,3.84
160,,79884.0,3800.0,0.0,1.6
161,0.14,162596.0,8150.0,0.0,5.42
162,1.0,3396.0,2640.0,0.0,0.07
163,0.32,3637.0,2376.0,0.0,0.01
164,0.13,918942.0,39850.0,0.0,3.68
165,0.14,150304.0,10000.0,0.0,2.51
166,0.05,539339.0,21100.0,0.0,4.9
167,2.52,63070.0,61944.0,0.0,0.17
168,0.03,310335.0,12828.125,0.0,3.1
169,0.05,472951.0,21436.625,0.0,5.26
170,0.05,171359.0,6795.0,0.0,3.43
171,0.13,180209.0,19000.0,0.0,0.67
172,4.78,11780.0,11846.0,0.0,0.04
173,0.45,53787.0,12499.625,0.0,1.08
174,,0.0,0.0,1.0,0.0
175,,77.0,77.0,0.0,0.0
176,0.05,410575.0,14500.0,1.0,3.16
177,0.08,15624.0,6004.0,0.0,0.2
178,,220483.0,6500.0,0.0,4.41
179,0.08,83914.0,6913.0,0.0,4.2
180,0.07,323559.0,8800.0,0.0,4.04
181,1.23,118261.0,30750.0,0.0,0.49
182,0.17,129487.0,24951.875,0.0,1.62
183,0.42,579243.0,130145.125,0.0,1.16
184,0.04,222443.0,10837.0,1.0,3.71
185,0.11,50904.0,5353.0,0.0,2.55
186,,92351.0,5600.0,1.0,0.92
187,9.02,163546.0,103127.75,0.0,0.45
188,0.04,1177951.0,35984.0,1.0,5.89
189,,57742.0,17397.0,0.0,0.44
190,,125792.0,1760.0,0.0,6.29
191,0.17,353740.0,40419.0,0.0,1.14
192,0.07,130018.0,6752.0,1.0,2.17
193,0.02,45854.0,17963.5,0.0,0.25
194,1.07,68239.0,15866.5,0.0,0.38
195,0.04,84884.0,10250.0,0.0,1.7
196,0.05,228759.0,8132.0,1.0,4.58
197,,1616.0,1616.0,0.0,0.01
198,0.08,103511.0,8340.5,0.0,5.18
199,0.33,6457.0,21861.0,0.0,0.01
200,0.03,117854.0,2903.0,1.0,3.93
201,,750.0,0.0,0.0,0.0
202,0.31,130872.0,20736.5,0.0,0.93
203,0.63,64236.0,36913.125,0.0,0.46
204,0.05,688894.0,29152.0,0.0,5.74
205,0.04,1202779.0,37500.0,0.0,3.34
206,16.96,98941.0,13029.625,0.0,4.95
207,3.78,3033.0,5023.0,0.0,0.03
208,0.51,9657.0,6988.0,1.0,0.05
209,0.04,391407.0,13838.0,1.0,4.89
210,0.49,19462.0,10868.0,0.0,0.06
211,0.05,419979.0,30818.5,0.0,1.91
212,,2384.0,11877.0,1.0,0.01
213,0.04,215945.0,8404.0,0.0,5.4
214,0.11,103603.0,8493.0,0.0,3.45
215,0.04,1547111.0,55690.0,0.0,3.29
216,1.0,3510.0,2490.0,0.0,0.12
217,,0.0,0.0,1.0,0.0
218,0.04,470809.0,19500.0,0.0,5.89
219,0.04,453847.0,24922.125,0.0,4.13
220,3.19,6092.0,4668.0,0.0,0.02
221,0.11,685565.0,32100.0,1.0,1.9
222,0.04,1548689.0,73223.0,0.0,4.69
223,0.04,1410918.0,74582.0,0.0,4.7
224,0.11,437268.0,41866.0,0.0,1.37
225,,243968.0,7475.0,1.0,4.88
226,0.05,772102.0,39633.25,0.0,4.54
227,0.82,8384.0,5119.0,0.0,0.02
228,0.1,108461.0,7564.0,0.0,5.42
229,0.05,202501.0,9074.0,1.0,4.05
230,,63912.0,5133.0,0.0,3.2
231,0.06,132930.0,6732.0,0.0,2.66
232,,94656.0,6950.0,1.0,4.73
233,,167329.0,9945.5,0.0,3.35
234,0.04,828058.0,34887.0,1.0,4.36
235,0.03,175794.0,5935.0,0.0,2.93
236,0.5,41852.0,23343.5,0.0,0.52
237,0.04,399780.0,12625.0,0.0,2.67
238,,18130.0,19989.0,0.0,0.09
239,0.04,1274546.0,50997.0,1.0,5.31
240,0.16,115854.0,13597.0,1.0,0.83
241,,44436.0,2285.0,0.0,0.74
242,0.04,241244.0,12800.0,0.0,4.82
243,0.07,169234.0,7950.0,0.0,3.38
244,0.9,14634.0,5818.0,0.0,0.08
245,2.5,613.0,595.0,0.0,0.02
246,0.08,79889.0,5918.0,0.0,3.99
247,0.03,63417.0,11727.0,0.0,0.25
248,0.05,196498.0,8260.0,0.0,1.96
249,0.05,256005.0,15230.0,0.0,0.78
250,0.04,117871.0,7027.0,0.0,2.36
251,0.03,240862.0,10062.0,0.0,4.82
252,0.13,135160.0,6900.625,0.0,4.51
253,0.05,631439.0,25041.0,1.0,4.51
254,0.1,337391.0,44817.0,0.0,2.11
255,0.16,34030.0,14825.0,0.0,0.09
256,0.06,173552.0,6842.0,0.0,3.47
257,1.07,27095.0,13132.5,0.0,0.19
258,0.31,82207.0,29673.25,0.0,0.51
259,,62170.0,0.0,0.0,0.62
260,0.05,1129440.0,42020.0,1.0,5.13
261,0.3,513211.0,94528.25,0.0,1.01
262,0.03,202201.0,13944.0,0.0,4.04
263,1.04,63277.0,38598.75,0.0,0.4
264,6.86,53735.0,16303.5,0.0,0.23
265,0.03,35054.0,19077.5,0.0,0.44
266,,7104.0,1264.0,0.0,0.05
267,0.16,52136.0,3932.0,0.0,5.21
268,0.05,357781.0,9986.0,1.0,2.75
269,0.05,207975.0,9200.0,0.0,5.2
270,0.12,73717.0,6631.0,1.0,1.47
271,0.03,180209.0,9686.0,0.0,1.8
272,,4414.0,1800.0,0.0,0.04
273,,0.0,0.0,1.0,0.0
274,0.18,80871.0,11522.0,0.0,0.4
275,,0.0,0.0,1.0,0.0
276,0.07,265753.0,24177.5,0.0,3.8
277,15.95,28062.0,25197.25,1.0,0.06
278,0.27,2736.0,1896.0,0.0,0.05
279,0.04,211791.0,7004.0,0.0,4.24
280,0.04,604011.0,26900.0,0.0,2.42
281,0.66,6448.0,3164.0,0.0,0.21
282,0.08,486594.0,86869.125,0.0,1.8
283,0.05,760211.0,27192.0,0.0,4.22
284,0.08,323182.0,20198.0,0.0,3.23
285,0.03,667517.0,29000.0,0.0,2.9
286,0.14,211039.0,69443.0,0.0,1.0
287,0.05,358970.0,13804.0,0.0,1.71
288,0.05,828179.0,29746.0,0.0,1.88
289,0.05,403638.0,13210.0,1.0,4.04
290,0.15,56097.0,6295.0,0.0,0.23
291,1.0,3344.0,23459.875,1.0,0.01
292,,0.0,0.0,1.0,0.0
293,0.65,12972.0,2000.0,0.0,0.43
294,0.5,56848.0,5470.0,1.0,5.68
295,,0.0,1500.0,0.0,0.0
296,0.05,978958.0,36425.0,0.0,4.89
297,0.39,7765.0,8715.0,0.0,0.06
298,0.05,858448.0,32709.0,0.0,4.09
299,0.05,273640.0,11718.0,0.0,0.98
300,,45400.0,32799.0,1.0,0.15
301,0.04,462851.0,15303.0,0.0,4.63
302,,0.0,19815.25,0.0,0.0
303,0.05,154301.0,7606.0,0.0,3.09
304,0.23,98447.0,11500.0,1.0,4.92
305,0.76,18236.0,12927.0,0.0,0.09
306,7.45,12860.0,12124.0,0.0,0.12
307,2.25,47529.0,36694.125,0.0,0.1
308,,5215.0,5215.0,0.0,0.02
309,0.12,72863.0,8900.0,1.0,2.43
310,0.41,65912.0,29032.875,0.0,1.1
311,0.27,21153.0,19153.0,0.0,0.05
312,0.05,827666.0,32000.0,0.0,4.6
313,0.27,79047.0,10600.0,0.0,3.95
314,,333047.0,16286.0,1.0,1.67
315,0.03,194503.0,4871.0,0.0,1.95
316,0.04,171532.0,8013.0,1.0,2.86
317,0.05,303817.0,13500.0,0.0,2.76
318,,2025.0,2484.0,0.0,0.01
319,0.08,213516.0,7372.0,0.0,4.27
320,,0.0,0.0,0.0,0.0
321,0.04,311346.0,10354.0,1.0,2.83
322,0.12,923137.0,61160.875,0.0,2.72
323,0.76,31650.0,11019.0,0.0,0.63
324,0.06,55327.0,11750.0,1.0,0.24
325,0.11,575409.0,57000.0,0.0,1.6
326,,160699.0,28802.75,0.0,0.77
327,0.5,3375.0,1925.0,1.0,0.02
328,0.15,170082.0,10111.0,1.0,2.83
329,0.47,137566.0,83210.0,0.0,0.4
330,0.05,624055.0,25700.0,0.0,4.16
331,,47569.0,35175.0,1.0,0.24
332,0.31,66514.0,7200.0,1.0,0.51
333,,96266.0,22855.25,0.0,1.6
334,,79988.0,21415.25,0.0,0.2
335,0.06,116747.0,5503.0,0.0,5.84
336,0.04,912875.0,36836.0,0.0,4.8
337,0.06,953100.0,44000.0,0.0,3.67
338,,390.0,0.0,0.0,0.0
339,0.04,234080.0,10163.5,1.0,4.68
340,7.82,16986.0,20204.0,0.0,0.14
341,1.0,368.0,2159.0,0.0,0.0
342,0.2,18847.0,3390.0,0.0,0.38
343,,76669.0,24456.25,0.0,0.38
344,0.04,857791.0,53750.5,0.0,4.77
345,0.04,734847.0,26710.0,0.0,4.08
346,,13236.0,23994.0,0.0,0.08
347,3.07,19223.0,13974.0,0.0,0.19
348,0.06,273459.0,13000.0,1.0,5.47
349,0.05,838519.0,34500.0,0.0,5.99
350,0.08,117890.0,6064.0,1.0,3.93
351,0.04,86582.0,15733.5,0.0,0.96
352,,4818.0,51386.25,0.0,0.02
353,,0.0,0.0,1.0,0.0
354,0.04,303152.0,12045.0,0.0,3.79
355,0.21,109216.0,6673.0,0.0,2.18
356,0.05,177278.0,8781.0,1.0,0.98
357,0.04,724940.0,27398.0,0.0,3.02
358,0.05,1082561.0,53060.0,0.0,2.85
359,0.04,487656.0,19300.0,0.0,4.43
360,0.01,137687.0,68263.75,0.0,0.53
361,0.03,1548689.0,75500.0,1.0,3.1
362,0.04,436318.0,15669.0,0.0,1.36
363,,248859.0,5485.0,0.0,4.98
364,,4498.0,2564.0,1.0,0.04
365,0.39,3314.0,3073.0,0.0,0.01
366,,15649.0,16061.0,0.0,0.05
367,0.06,218302.0,10251.0,0.0,4.37
368,,14752.0,1650.0,0.0,1.48
369,,0.0,0.0,0.0,0.0
370,,93331.0,3190.0,1.0,4.67
371,,83538.0,0.0,1.0,0.46
372,30.07,61480.0,64171.75,0.0,0.38
373,0.05,253776.0,18851.125,0.0,2.82
374,0.11,141140.0,11574.5,0.0,4.7
375,0.05,836186.0,41209.5,0.0,4.65
376,0.09,126272.0,8016.0,0.0,4.21
377,,132258.0,6862.5,0.0,4.41
378,0.78,45024.0,30397.875,0.0,0.32
379,0.05,327465.0,25500.0,0.0,1.56
380,0.1,83951.0,15077.0,1.0,1.68
381,0.05,472379.0,20500.0,0.0,3.63
382,0.79,16397.0,3500.0,1.0,0.33
383,0.03,538393.0,26126.5,0.0,3.85
384,0.37,29372.0,3899.0,1.0,0.17
385,0.37,107251.0,16544.875,0.0,1.34
386,0.05,1538977.0,63800.0,0.0,3.75
387,,80000.0,8451.875,0.0,1.0
388,0.06,416184.0,23430.0,1.0,5.2
389,0.05,944099.0,36834.0,0.0,6.29
390,0.26,2586.0,21339.25,1.0,0.01
391,,0.0,0.0,0.0,0.0
392,,176266.0,33667.125,1.0,0.63
393,0.04,503434.0,20078.0,0.0,1.62
394,0.15,118369.0,16500.0,0.0,0.85
395,0.62,63000.0,23604.125,0.0,0.18
396,0.06,856203.0,40478.375,0.0,6.12
397,0.06,240783.0,5141.0,0.0,2.41
398,,1480.0,1480.0,0.0,0.03
399,0.04,567259.0,23202.0,0.0,2.7
400,0.03,703798.0,20857.0,0.0,5.86
401,0.03,666907.0,32177.5,0.0,2.78
402,0.04,185007.0,9885.0,0.0,3.08
403,1.43,7098.0,5291.0,1.0,0.05
404,0.06,161543.0,8942.0,0.0,5.38
405,0.05,974815.0,30512.0,1.0,6.09
406,0.7,92108.0,19038.5,0.0,0.46
407,0.23,47869.0,6000.0,0.0,0.4
408,0.0,1548689.0,64709.0,0.0,3.1
409,0.21,365115.0,67601.0,0.0,1.14
410,0.06,1043732.0,42823.0,0.0,3.73
411,,185629.0,8209.0,1.0,3.09
412,,557.0,517.0,0.0,0.0
413,,11600.0,11611.0,0.0,0.05
414,,64332.0,7441.0,1.0,0.28
415,1.59,292489.0,97473.375,0.0,0.61
416,0.17,27500.0,4490.625,0.0,0.55
417,2.18,23286.0,18031.5,0.0,0.12
418,0.14,104694.0,7800.0,0.0,2.09
419,0.08,180417.0,15461.0,0.0,3.61
420,,0.0,0.0,1.0,0.0
421,0.06,166661.0,8607.0,0.0,5.56
422,0.05,962256.0,42156.0,0.0,2.19
423,0.27,17733.0,9709.0,0.0,0.08
424,0.04,613953.0,20500.0,1.0,3.07
425,0.05,1185021.0,43181.0,0.0,2.42
426,,11262.0,0.0,0.0,0.14
427,0.31,79043.0,10123.0,1.0,3.95
428,1.0,1393.0,1393.0,1.0,0.01
429,0.05,293401.0,14957.625,0.0,4.19
430,0.03,762633.0,24500.0,0.0,3.63
431,0.03,465009.0,18601.0,0.0,5.17
432,0.04,1548689.0,62172.0,1.0,3.97
433,0.05,304292.0,13557.0,0.0,2.77
434,0.04,994160.0,36784.0,0.0,1.71
435,0.65,36696.0,25244.0,0.0,0.1
436,0.04,1359821.0,42000.0,1.0,5.04
437,,14672.0,650.0,0.0,0.24
438,0.04,367490.0,13600.0,0.0,3.34
439,0.05,235192.0,8773.0,0.0,4.7
440,0.04,339098.0,16052.625,1.0,4.24
441,1.0,28024.0,8904.5,0.0,0.56
442,0.05,531060.0,21237.0,0.0,5.31
443,,4137.0,4137.0,0.0,0.14
444,0.05,730818.0,34070.0,0.0,3.65
445,0.05,1294165.0,51436.0,1.0,5.39
446,0.04,160668.0,6300.0,0.0,0.73
447,0.03,601165.0,19300.0,0.0,3.76
448,0.03,83747.0,17715.75,0.0,0.47
449,0.13,170347.0,12043.0,0.0,0.85
450,0.05,461266.0,22641.5,0.0,3.29
451,,0.0,0.0,1.0,0.0
452,,1548689.0,89815.25,1.0,2.58
453,0.05,935929.0,61097.75,0.0,3.6
454,0.0,162165.0,7394.0,0.0,0.81
455,0.03,331586.0,18026.5,0.0,4.14
456,0.05,124960.0,11247.0,0.0,3.12
457,,439958.0,18000.0,0.0,3.38
458,0.08,99206.0,5000.0,0.0,1.98
459,19.13,48732.0,56876.5,0.0,0.21
460,0.04,156587.0,14807.0,1.0,2.24
461,0.04,838496.0,36029.0,0.0,4.66
462,5.0,28137.0,27605.375,0.0,0.35
463,1.13,248603.0,56332.125,0.0,0.86
464,0.52,564897.0,39605.5,0.0,2.46
465,,2141.0,2755.0,0.0,0.01
466,0.04,1206322.0,42822.0,1.0,5.24
467,0.04,1178818.0,45147.0,1.0,5.36
468,0.06,142857.0,5236.0,0.0,0.62
469,0.17,300881.0,68217.75,0.0,0.6
470,0.53,19471.0,14731.0,0.0,0.22
471,0.05,1548689.0,67884.0,1.0,3.97
472,0.05,1345688.0,51938.0,0.0,3.36
473,0.95,11563.0,11076.0,0.0,0.06
474,0.06,192042.0,9500.0,0.0,3.2
475,0.65,19210.0,20172.0,0.0,0.16
476,0.07,167658.0,6820.0,0.0,2.79
477,0.04,195918.0,7869.0,0.0,3.92
478,0.04,380598.0,14935.0,0.0,5.44
479,,2751.0,2301.0,0.0,0.01
480,,0.0,0.0,0.0,0.0
481,0.53,274820.0,50122.0,0.0,1.1
482,0.06,832487.0,27151.875,1.0,5.95
483,0.05,169724.0,10806.0,0.0,2.42
484,0.02,411870.0,14486.0,0.0,4.58
485,0.69,10198.0,9818.0,0.0,0.1
486,0.04,894199.0,29086.0,0.0,4.71
487,2.2,52633.0,45768.0,0.0,0.23
488,0.04,556223.0,23059.0,0.0,1.74
489,4.16,4024.0,4024.0,1.0,0.02
490,0.38,37990.0,29865.0,0.0,0.15
491,0.27,573.0,157.0,0.0,0.01
492,0.05,144207.0,4610.0,0.0,4.81
493,0.04,668040.0,22116.0,0.0,2.57
494,0.14,46228.0,4308.0,0.0,0.27
495,0.14,58976.0,3476.0,1.0,0.74
496,1.97,2336.0,4250.0,0.0,0.05
497,0.04,1183795.0,43749.0,0.0,5.92
498,0.23,123892.0,6912.625,0.0,6.19
499,,1825.0,1771.0,0.0,0.01
500,0.1,114642.0,7939.0,0.0,5.73
501,0.1,138451.0,8200.0,0.0,4.62
502,,162740.0,12500.0,0.0,1.81
503,0.05,1246677.0,49500.0,0.0,5.42
504,0.1,107017.0,5000.0,1.0,0.82
505,,0.0,0.0,0.0,0.0
506,1.0,3200.0,2805.0,0.0,0.02
507,,743801.0,49952.875,0.0,1.49
508,0.06,226042.0,10128.0,0.0,1.26
509,0.08,75825.0,4800.0,0.0,0.95
510,,11330.0,7450.0,0.0,0.09
511,1.0,6514.0,5643.0,0.0,0.05
512,1.0,1440.0,1440.0,1.0,0.01
513,1.17,132271.0,55238.375,0.0,0.37
514,0.07,189259.0,8800.0,1.0,3.79
515,0.16,103607.0,4938.0,0.0,5.18
516,0.03,472054.0,19478.5,0.0,4.72
517,0.04,415116.0,19970.0,0.0,5.93
518,0.22,108988.0,10759.5,0.0,2.18
519,,59270.0,4607.0,0.0,5.93
520,0.06,624930.0,39000.0,0.0,2.15
521,0.1,110402.0,7645.0,0.0,3.68
522,,237594.0,87429.125,0.0,0.58
523,0.32,424799.0,104944.875,1.0,1.18
524,0.05,501478.0,27167.0,1.0,3.58
525,0.05,427893.0,17600.0,0.0,2.04
526,7.83,20097.0,30899.0,0.0,0.09
527,,116201.0,4500.0,0.0,5.81
528,,979950.0,30700.0,1.0,1.58
529,,4277.0,4298.0,0.0,0.01
530,0.21,52614.0,7453.125,0.0,2.63
531,0.08,129497.0,14460.125,0.0,2.59
532,0.03,193377.0,6935.0,0.0,3.87
533,0.59,36955.0,3766.0,1.0,3.7
534,0.04,356645.0,17050.0,1.0,3.57
535,1.27,11223.0,9519.0,0.0,0.22
536,3.49,17388.0,14013.0,0.0,0.29
537,0.04,1488733.0,55700.0,0.0,3.38
538,0.06,421362.0,14449.0,0.0,3.51
539,0.31,7741.0,1318.0,0.0,0.15
540,0.01,576533.0,23100.0,0.0,5.24
541,,887.0,805.0,0.0,0.0
542,,318.0,318.0,0.0,0.0
543,,169630.0,4700.0,1.0,5.65
544,0.05,164636.0,20747.125,0.0,1.65
545,0.81,58482.0,40069.0,0.0,0.16
546,0.1,284264.0,23000.0,0.0,0.73
547,,0.0,0.0,1.0,0.0
548,,0.0,0.0,0.0,0.0
549,3.06,63456.0,25923.0,0.0,0.28
550,0.1,246395.0,27524.0,0.0,2.05
551,0.32,37706.0,7500.0,1.0,0.38
552,,72112.0,27612.25,1.0,0.38
553,0.05,219191.0,9617.0,1.0,4.38
554,,6370.0,6370.0,0.0,0.03
555,0.06,223518.0,10159.0,0.0,5.59
556,0.62,118530.0,41078.125,0.0,0.19
557,1.03,13149.0,9074.0,0.0,0.08
558,0.13,463018.0,26751.875,0.0,4.21
559,0.12,35627.0,2055.0,0.0,1.78
560,0.05,362544.0,14975.0,0.0,1.73
561,2.08,57523.0,43455.0,0.0,0.21
562,3.49,4696.0,4973.0,0.0,0.01
563,4.42,9651.0,9750.0,0.0,0.16
564,0.07,477607.0,52022.875,0.0,1.33
565,0.0,11273.0,9874.0,0.0,0.03
566,1.18,37633.0,43951.0,0.0,0.15
567,0.12,107492.0,12884.0,1.0,1.19
568,0.21,37909.0,48124.0,0.0,0.11
569,0.04,155313.0,6685.0,0.0,3.11
570,0.05,24457.0,1000.0,0.0,0.09
571,0.15,93578.0,30844.5,0.0,0.47
572,0.04,194735.0,9496.0,0.0,3.89
573,0.97,25910.0,15084.0,0.0,0.07
574,1.65,14048.0,10431.0,1.0,0.09
575,1.38,26122.0,29068.625,0.0,0.33
576,0.05,1530148.0,59114.0,1.0,5.28
577,1.0,143620.0,66241.75,0.0,0.53
578,1.41,55230.0,24932.875,0.0,0.69
579,0.25,38925.0,5400.0,0.0,0.78
580,0.34,24623.0,12079.5,0.0,0.82
581,,780.0,780.0,1.0,0.03
582,0.24,195738.0,37970.5,0.0,2.17
583,2.62,67573.0,47535.25,0.0,0.42
584,0.05,410262.0,15881.0,0.0,5.13
585,0.04,245027.0,7200.0,0.0,4.9
586,0.11,99055.0,5900.0,0.0,4.95
587,,0.0,0.0,1.0,0.0
588,1.78,67409.0,36815.5,1.0,0.32
589,0.05,535030.0,18011.0,0.0,4.12
590,3.97,194136.0,115040.875,0.0,0.75
591,0.16,254314.0,37584.25,0.0,1.11
592,0.05,512342.0,20862.0,0.0,3.2
593,0.03,77061.0,6587.0,0.0,1.54
594,0.04,261480.0,18017.0,0.0,3.27
595,0.05,356592.0,14882.0,0.0,3.24
596,0.04,826110.0,29861.0,0.0,4.13
